subject,task,trial,block,trial_type,stop_rule,signal,direction,go_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
5,stimulus_selective,1,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,2,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,3,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,4,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,5,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,6,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,7,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,8,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,9,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,10,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,11,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,12,1,stop,ignore,blue,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,13,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,14,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,15,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,16,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,17,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,18,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,19,1,stop,ignore,blue,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,20,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,21,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,22,1,stop,withhold,red,left,z,withhold,,0,500,1500,500,200
5,stimulus_selective,23,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,24,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,25,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,26,1,stop,withhold,red,right,m,withhold,,0,500,1500,500,200
5,stimulus_selective,27,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,28,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,29,1,stop,ignore,blue,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,30,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,31,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,32,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,33,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,34,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,35,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,36,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,37,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,38,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,39,1,stop,ignore,blue,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,40,1,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,41,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,42,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,43,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,44,2,stop,ignore,blue,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,45,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,46,2,stop,withhold,red,left,z,withhold,,0,500,1500,500,200
5,stimulus_selective,47,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,48,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,49,2,stop,ignore,blue,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,50,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,51,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,52,2,stop,ignore,blue,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,53,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,54,2,stop,ignore,blue,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,55,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,56,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,57,2,stop,ignore,blue,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,58,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,59,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,60,2,stop,withhold,red,right,m,withhold,,0,500,1500,500,200
5,stimulus_selective,61,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,62,2,stop,ignore,blue,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,63,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,64,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,65,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,66,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,67,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,68,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,69,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,70,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,71,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,72,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,73,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,74,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,75,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,76,2,stop,withhold,red,right,m,withhold,,0,500,1500,500,200
5,stimulus_selective,77,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,78,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,79,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,80,2,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,81,3,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,82,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stimulus_selective,83,3,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,84,3,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,85,3,stop,ignore,blue,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,86,3,go,none,none,right,m,respond,m,0,500,1500,500,200
5,stimulus_selective,87,3,stop,withhold,red,left,z,withhold,,0,500,1500,500,200
5,stimulus_selective,88,3,go,none,none,right,m,respond,m,0,500,1500,500,200
