subject,task,trial,block,counterbalance,orientation_mapping,fill_mapping,trial_type,stop_rule,signal,orientation,fill,orientation_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
8,stimulus_selective,1,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,2,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,3,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,4,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,5,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,6,1,2,normal_left_inner_rotated_left_shift,none,stop,ignore,blue,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
8,stimulus_selective,7,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,8,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
8,stimulus_selective,9,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
8,stimulus_selective,10,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
8,stimulus_selective,11,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
8,stimulus_selective,12,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
8,stimulus_selective,13,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
8,stimulus_selective,14,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,15,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,16,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,17,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
8,stimulus_selective,18,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
8,stimulus_selective,19,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
8,stimulus_selective,20,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
8,stimulus_selective,21,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
8,stimulus_selective,22,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
8,stimulus_selective,23,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
