subject,task,trial,block,counterbalance,orientation_mapping,fill_mapping,trial_type,stop_rule,signal,orientation,fill,orientation_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
3,stop_change_four,1,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,normal,filled,left_shift,respond,right_shift,1,500,1500,500,200
3,stop_change_four,2,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,rotated,filled,left_inner,respond,left_inner,0,500,1500,500,200
3,stop_change_four,3,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,normal,filled,left_shift,respond,left_shift,0,500,1500,500,200
3,stop_change_four,4,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,normal,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
3,stop_change_four,5,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,normal,unfilled,left_shift,respond,right_inner,1,500,1500,500,200
3,stop_change_four,6,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,rotated,filled,left_inner,respond,left_inner,0,500,1500,500,200
3,stop_change_four,7,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
3,stop_change_four,8,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,normal,unfilled,left_shift,respond,right_inner,1,500,1500,500,200
3,stop_change_four,9,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,rotated,filled,left_inner,respond,left_inner,0,500,1500,500,200
3,stop_change_four,10,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,normal,filled,left_shift,respond,right_shift,1,500,1500,500,200
3,stop_change_four,11,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,rotated,unfilled,left_inner,respond,right_inner,1,500,1500,500,200
3,stop_change_four,12,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,normal,filled,left_shift,respond,left_shift,0,500,1500,500,200
3,stop_change_four,13,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,rotated,unfilled,left_inner,respond,right_inner,1,500,1500,500,200
3,stop_change_four,14,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,rotated,filled,left_inner,respond,left_inner,0,500,1500,500,200
3,stop_change_four,15,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,rotated,filled,left_inner,respond,right_shift,1,500,1500,500,200
3,stop_change_four,16,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,stop,fill_change,blue,rotated,unfilled,left_inner,respond,right_inner,1,500,1500,500,200
3,stop_change_four,17,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,normal,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
3,stop_change_four,18,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
3,stop_change_four,19,1,3,normal_left_shift_rotated_left_inner,filled_right_shift_unfilled_right_inner,go,none,none,normal,filled,left_shift,respond,left_shift,0,500,1500,500,200
