subject,task,trial,block,trial_type,stop_rule,signal,direction,go_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
5,stop_change_four,1,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,2,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,3,1,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,4,1,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,5,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,6,1,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,7,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,8,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,9,1,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,10,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,11,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,12,1,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,13,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,14,1,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,15,1,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,16,1,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,17,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,18,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,19,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,20,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,21,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,22,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,23,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,24,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,25,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,26,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,27,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,28,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,29,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,30,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,31,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,32,1,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,33,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,34,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,35,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,36,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,37,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,38,1,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,39,1,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,40,1,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,41,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,42,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,43,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,44,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,45,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,46,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,47,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,48,2,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,49,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,50,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,51,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,52,2,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,53,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,54,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,55,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,56,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,57,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,58,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,59,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,60,2,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,61,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,62,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,63,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,64,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,65,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,66,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,67,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,68,2,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,69,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,70,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,71,2,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,72,2,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,73,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,74,2,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,75,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,76,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,77,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,78,2,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,79,2,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,80,2,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,81,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,82,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,83,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,84,3,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,85,3,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,86,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,87,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,88,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,89,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,90,3,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,91,3,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,92,3,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,93,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,94,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,95,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,96,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,97,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,98,3,go,none,none,left,z,respond,z,0,500,1500,500,200
5,stop_change_four,99,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,100,3,go,none,none,right,c,respond,c,0,500,1500,500,200
5,stop_change_four,101,3,stop,direction_change,blue,right,c,respond,m,1,500,1500,500,200
5,stop_change_four,102,3,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,103,3,stop,direction_change,blue,left,z,respond,b,1,500,1500,500,200
5,stop_change_four,104,3,go,none,none,right,c,respond,c,0,500,1500,500,200
