subject,task,trial,block,counterbalance,orientation_mapping,fill_mapping,trial_type,stop_rule,signal,orientation,fill,orientation_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
4,stop_change_three,1,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,2,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,rotated,unfilled,left_shift,respond,right_shift,1,500,1500,500,200
4,stop_change_three,3,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,4,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,5,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,6,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,rotated,unfilled,left_shift,respond,right_shift,1,500,1500,500,200
4,stop_change_three,7,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,8,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,normal,unfilled,left_inner,respond,right_shift,1,500,1500,500,200
4,stop_change_three,9,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,10,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,rotated,unfilled,left_shift,respond,right_shift,1,500,1500,500,200
4,stop_change_three,11,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,rotated,unfilled,left_shift,respond,right_shift,1,500,1500,500,200
4,stop_change_three,12,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,13,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,14,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,15,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,normal,unfilled,left_inner,respond,right_shift,1,500,1500,500,200
4,stop_change_three,16,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,normal,unfilled,left_inner,respond,right_shift,1,500,1500,500,200
4,stop_change_three,17,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,18,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,rotated,unfilled,left_shift,respond,right_shift,1,500,1500,500,200
4,stop_change_three,19,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,20,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,21,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,22,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,23,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,24,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,25,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,26,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,27,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,rotated,unfilled,left_shift,respond,right_shift,1,500,1500,500,200
4,stop_change_three,28,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,29,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,30,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,31,1,2,normal_left_inner_rotated_left_shift,none,stop,change,blue,normal,unfilled,left_inner,respond,right_shift,1,500,1500,500,200
4,stop_change_three,32,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,33,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,34,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,35,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,36,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_change_three,37,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,38,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,39,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_change_three,40,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
