subject,task,trial,block,trial_type,stop_rule,signal,direction,go_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
7,stop_change_three,1,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,2,1,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,3,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,4,1,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,5,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,6,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,7,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,8,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,9,1,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,10,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,11,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,12,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,13,1,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,14,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,15,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,16,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,17,1,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,18,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,19,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,20,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,21,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,22,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,23,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,24,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,25,1,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,26,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,27,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,28,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,29,1,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,30,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,31,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,32,1,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,33,1,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,34,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,35,1,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,36,1,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,37,1,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,38,1,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,39,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,40,1,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,41,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,42,2,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,43,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,44,2,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,45,2,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,46,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,47,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,48,2,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,49,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,50,2,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,51,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,52,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,53,2,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,54,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,55,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,56,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,57,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,58,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,59,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,60,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,61,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,62,2,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,63,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,64,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,65,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,66,2,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,67,2,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,68,2,stop,change,blue,right,c,respond,m,1,500,1500,500,200
7,stop_change_three,69,2,go,none,none,left,z,respond,z,0,500,1500,500,200
7,stop_change_three,70,2,go,none,none,right,c,respond,c,0,500,1500,500,200
7,stop_change_three,71,2,stop,change,blue,left,z,respond,m,1,500,1500,500,200
7,stop_change_three,72,2,stop,change,blue,right,c,respond,m,1,500,1500,500,200
