subject,task,trial,block,trial_type,stop_rule,signal,direction,go_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
2,stop_change_two,1,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,2,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,3,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,4,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,5,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,6,1,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,7,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,8,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,9,1,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,10,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,11,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,12,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,13,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,14,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,15,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,16,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,17,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,18,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,19,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,20,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,21,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,22,1,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,23,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,24,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,25,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,26,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,27,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,28,1,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,29,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,30,1,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,31,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,32,1,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,33,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,34,1,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,35,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,36,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,37,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,38,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,39,1,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,40,1,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,41,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,42,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,43,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,44,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,45,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,46,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,47,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,48,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,49,2,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,50,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,51,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,52,2,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,53,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,54,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,55,2,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,56,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,57,2,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,58,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,59,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,60,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,61,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,62,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,63,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,64,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,65,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,66,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,67,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,68,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,69,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,70,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,71,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,72,2,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,73,2,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,74,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,75,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,76,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,77,2,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,78,2,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,79,2,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,80,2,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,81,3,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,82,3,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,83,3,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,84,3,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,85,3,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,86,3,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,87,3,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,88,3,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,89,3,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,90,3,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,91,3,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,92,3,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,93,3,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,94,3,stop,opposite,blue,right,m,respond,z,1,500,1500,500,200
2,stop_change_two,95,3,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,96,3,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,97,3,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,98,3,go,none,none,right,m,respond,m,0,500,1500,500,200
2,stop_change_two,99,3,stop,opposite,blue,left,z,respond,m,1,500,1500,500,200
2,stop_change_two,100,3,go,none,none,left,z,respond,z,0,500,1500,500,200
2,stop_change_two,101,3,go,none,none,left,z,respond,z,0,500,1500,500,200
