subject,task,trial,block,counterbalance,orientation_mapping,fill_mapping,trial_type,stop_rule,signal,orientation,fill,orientation_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
7,stop_change_two,1,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,2,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,3,1,1,normal_left_shift_rotated_left_inner,none,stop,opposite,blue,rotated,unfilled,left_inner,respond,left_shift,1,500,1500,500,200
7,stop_change_two,4,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,5,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,6,1,1,normal_left_shift_rotated_left_inner,none,stop,opposite,blue,normal,unfilled,left_shift,respond,left_inner,1,500,1500,500,200
7,stop_change_two,7,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,8,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,9,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,normal,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
7,stop_change_two,10,1,1,normal_left_shift_rotated_left_inner,none,stop,opposite,blue,normal,unfilled,left_shift,respond,left_inner,1,500,1500,500,200
7,stop_change_two,11,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,normal,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
7,stop_change_two,12,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,13,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,normal,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
7,stop_change_two,14,1,1,normal_left_shift_rotated_left_inner,none,stop,opposite,blue,normal,unfilled,left_shift,respond,left_inner,1,500,1500,500,200
7,stop_change_two,15,1,1,normal_left_shift_rotated_left_inner,none,stop,opposite,blue,rotated,unfilled,left_inner,respond,left_shift,1,500,1500,500,200
7,stop_change_two,16,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,17,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,rotated,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
7,stop_change_two,18,1,1,normal_left_shift_rotated_left_inner,none,go,none,none,normal,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
