subject,task,trial,block,counterbalance,orientation_mapping,fill_mapping,trial_type,stop_rule,signal,orientation,fill,orientation_key,intended_action,intended_key,requires_signal_for_success,fixation_duration,response_window,iti,initial_ssd
4,stop_signal,1,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,2,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,3,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,4,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,5,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,6,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,7,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,8,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,9,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,10,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,11,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,12,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,13,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,14,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,15,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,16,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,17,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,18,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,19,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,20,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,21,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,22,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,23,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,24,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,25,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,26,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,27,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,28,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,29,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,30,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,31,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,32,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,33,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,34,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,35,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,36,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,37,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,38,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,39,1,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,40,1,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,41,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,42,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,43,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,44,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,45,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,46,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,47,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,48,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,49,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,50,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,51,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,52,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,53,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,54,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,55,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,56,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,57,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,58,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,59,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,60,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,61,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,62,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,63,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,64,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,65,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,66,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,67,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,68,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,69,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,70,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,71,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,72,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,73,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,74,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,75,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,76,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,77,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,78,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,79,2,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,80,2,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,81,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,82,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,83,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,84,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,85,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,86,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,87,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,88,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,89,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,90,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,91,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,92,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,93,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,94,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,95,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,96,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,97,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,98,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,99,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,100,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,101,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,102,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,103,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,104,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,105,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,106,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,107,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,108,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,109,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,110,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,111,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,112,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,113,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,114,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,115,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,116,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,117,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,118,3,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,119,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,120,3,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,121,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,122,4,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,123,4,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,124,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,125,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,126,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,127,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,128,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,129,4,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,130,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,131,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,132,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,133,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,134,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,135,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,136,4,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,137,4,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,normal,unfilled,left_inner,withhold,,0,500,1500,500,200
4,stop_signal,138,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,139,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,140,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,141,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
4,stop_signal,142,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,normal,unfilled,left_inner,respond,left_inner,0,500,1500,500,200
4,stop_signal,143,4,2,normal_left_inner_rotated_left_shift,none,stop,withhold,red,rotated,unfilled,left_shift,withhold,,0,500,1500,500,200
4,stop_signal,144,4,2,normal_left_inner_rotated_left_shift,none,go,none,none,rotated,unfilled,left_shift,respond,left_shift,0,500,1500,500,200
