task,subject,trial,block,stimulus_type,stimulus_direction,ssd_ms,ssd_actual_ms,rt_ms,response
stop_change_two,1,1,main,go,left,NA,NA,551,z
stop_change_two,1,2,main,go,left,NA,NA,369,z
stop_change_two,1,3,main,go,right,NA,NA,370,m
stop_change_two,1,4,main,go,right,NA,NA,374,m
stop_change_two,1,5,main,stop_blue,right,200,208,1158,z
stop_change_two,1,6,main,go,left,NA,NA,1313,m
stop_change_two,1,7,main,stop_blue,right,250,258,559,m
stop_change_two,1,8,main,go,right,NA,NA,727,m
stop_change_two,1,9,main,stop_blue,right,200,200,868,z
stop_change_two,1,10,main,go,right,NA,NA,775,m
stop_change_two,1,11,main,stop_blue,left,250,250,NA,NA
stop_change_two,1,12,main,go,left,NA,NA,NA,NA
stop_change_two,1,13,main,go,right,NA,NA,NA,NA
stop_change_two,1,14,main,go,left,NA,NA,NA,NA
stop_change_two,1,15,main,stop_blue,left,200,208,NA,NA
stop_change_two,1,16,main,stop_blue,left,150,158,NA,NA
stop_change_two,1,17,main,go,right,NA,NA,NA,NA
stop_change_two,1,18,main,stop_blue,right,100,108,NA,NA
stop_change_two,1,19,main,go,right,NA,NA,NA,NA
stop_change_two,1,20,main,go,left,NA,NA,NA,NA
stop_change_two,1,21,main,go,right,NA,NA,NA,NA
stop_change_two,1,22,main,go,right,NA,NA,NA,NA
stop_change_two,1,23,main,go,right,NA,NA,NA,NA
stop_change_two,1,24,main,go,left,NA,NA,NA,NA
stop_change_two,1,25,main,go,left,NA,NA,NA,NA
stop_change_two,1,26,main,go,left,NA,NA,NA,NA
stop_change_two,1,27,main,go,right,NA,NA,NA,NA
