task,subject,trial,block,stimulus_type,stimulus_direction,ssd_ms,ssd_actual_ms,rt_ms,response
stop_change_two,1,1,main,go,left,NA,NA,409,m
stop_change_two,1,2,main,go,left,NA,NA,343,z
stop_change_two,1,3,main,go,right,NA,NA,301,z
stop_change_two,1,4,main,go,right,NA,NA,309,m
stop_change_two,1,5,main,stop_blue,right,200,200,278,m
stop_change_two,1,6,main,go,left,NA,NA,280,z
stop_change_two,1,7,main,stop_blue,right,150,167,259,z
stop_change_two,1,8,main,go,right,NA,NA,397,m
stop_change_two,1,9,main,stop_blue,right,200,217,370,m
stop_change_two,1,10,main,go,right,NA,NA,391,m
stop_change_two,1,11,main,stop_blue,left,150,150,412,z
stop_change_two,1,12,main,go,left,NA,NA,433,z
stop_change_two,1,13,main,go,right,NA,NA,348,m
stop_change_two,1,14,main,go,left,NA,NA,296,z
stop_change_two,1,15,main,stop_blue,left,100,100,360,z
stop_change_two,1,16,main,stop_blue,left,50,67,366,z
stop_change_two,1,17,main,go,right,NA,NA,565,m
stop_change_two,1,18,main,stop_blue,right,50,67,426,z
stop_change_two,1,19,main,go,right,NA,NA,396,m
stop_change_two,1,20,main,go,left,NA,NA,265,z
