task,subject,trial,block,stimulus_type,stimulus_direction,ssd_ms,ssd_actual_ms,rt_ms,response
stop_change_two,1,1,practice_go,go,left,NA,NA,668,z
stop_change_two,1,2,practice_go,go,right,NA,NA,343,m
stop_change_two,1,3,practice_go,go,left,NA,NA,537,z
stop_change_two,1,4,practice_go,go,right,NA,NA,643,z
stop_change_two,1,5,practice_go,go,left,NA,NA,NA,NA
stop_change_two,1,6,practice_go,go,right,NA,NA,396,m
stop_change_two,1,7,practice_go,go,left,NA,NA,651,z
stop_change_two,1,8,practice_go,go,right,NA,NA,876,m
stop_change_two,1,9,practice_go,go,left,NA,NA,571,z
stop_change_two,1,10,practice_go,go,right,NA,NA,1297,m
