task,subject,trial,block,stimulus_type,stimulus_direction,ssd_ms,ssd_actual_ms,rt_ms,response
stop_change_two,1,1,practice_go,go,left,NA,NA,830,z
stop_change_two,1,2,practice_go,go,right,NA,NA,688,m
stop_change_two,1,3,practice_go,go,left,NA,NA,391,z
stop_change_two,1,4,practice_go,go,right,NA,NA,462,m
stop_change_two,1,5,practice_go,go,left,NA,NA,349,z
stop_change_two,1,6,practice_go,go,right,NA,NA,428,m
stop_change_two,1,7,practice_go,go,left,NA,NA,324,z
stop_change_two,1,8,practice_go,go,right,NA,NA,586,m
stop_change_two,1,9,practice_go,go,left,NA,NA,470,z
stop_change_two,1,10,practice_go,go,right,NA,NA,461,z
stop_change_two,1,1,practice_color,stop_blue,left,200,217,1335,m
stop_change_two,1,2,practice_color,stop_blue,right,250,250,1238,z
stop_change_two,1,3,practice_color,stop_blue,left,300,300,872,m
stop_change_two,1,4,practice_color,stop_blue,right,350,367,981,z
stop_change_two,1,5,practice_color,stop_blue,left,400,400,1016,m
stop_change_two,1,6,practice_color,stop_blue,right,450,467,1077,z
stop_change_two,1,7,practice_color,stop_blue,left,500,500,1053,m
stop_change_two,1,8,practice_color,stop_blue,right,550,567,1148,z
stop_change_two,1,9,practice_color,stop_blue,left,600,600,1151,m
stop_change_two,1,10,practice_color,stop_blue,right,650,667,1004,z
stop_change_two,1,1,practice_mixed,go,left,NA,NA,1127,m
stop_change_two,1,2,practice_mixed,stop_blue,left,700,NA,435,z
stop_change_two,1,3,practice_mixed,go,right,NA,NA,636,m
