record_type,task,subject,session_id,phase,trial,condition,stop_rule,stop_signal,arrow_direction,go_key,intended_action,intended_key,requires_signal_for_success,response_key,rt_source,rt_ms,correct,stop_success,ssd_ms,ssd_actual_ms,ssd_after_ms,response_window_ms,stimulus_onset_ms,stop_signal_onset_ms,response_timestamp_ms,trial_end_ms,trial_duration_actual_ms,received_at
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,1,go,none,none,left,z,respond,z,false,z,,749,true,,,,,1500,3550.086,,4298.6,4298.6,749,2026-06-25T10:38:41.718Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,2,go,none,none,left,z,respond,z,false,z,,605,true,,,,,1500,5304.286,,5909.4,5909.4,605,2026-06-25T10:38:43.328Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,3,go,none,none,right,m,respond,m,false,m,,456,true,,,,,1500,6919.986,,7376.2,7376.2,456,2026-06-25T10:38:44.794Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,4,go,none,none,right,m,respond,m,false,m,,516,true,,,,,1500,8379.3,,8895.7,8895.7,516,2026-06-25T10:38:46.310Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,5,stop,opposite,blue,right,m,respond,z,true,z,,927,true,true,200,200,250,1500,9895.9,10095.9,10823.3,10823.3,927,2026-06-25T10:38:48.235Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,6,go,none,none,left,z,respond,z,false,z,,818,true,,,,,1500,11829.2,,12647.2,12647.2,818,2026-06-25T10:38:50.059Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,7,stop,opposite,blue,right,m,respond,z,true,z,,1235,true,true,250,258,300,1500,13654.2,13912,14889.3,14889.3,1235,2026-06-25T10:38:52.304Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,8,go,none,none,right,m,respond,m,false,m,,828,true,,,,,1500,15895.9,,16724.2,16724.2,828,2026-06-25T10:38:54.134Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,9,stop,opposite,blue,right,m,respond,z,true,z,,763,true,true,300,300,350,1500,17729.2,18029.2,18492.1,18492.1,763,2026-06-25T10:38:55.908Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,10,go,none,none,right,m,respond,m,false,m,,571,true,,,,,1500,19495.8,,20067,20067,571,2026-06-25T10:38:57.474Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,11,stop,opposite,blue,left,z,respond,m,true,m,,879,true,true,350,350,400,1500,21070.8,21420.9,21950.1,21950.1,879,2026-06-25T10:38:59.367Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,12,go,none,none,left,z,respond,z,false,z,,667,true,,,,,1500,22954.086,,23621.1,23621.1,667,2026-06-25T10:39:01.029Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,13,go,none,none,right,m,respond,m,false,m,,782,true,,,,,1500,24629.2,,25410.9,25410.9,782,2026-06-25T10:39:02.823Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,14,go,none,none,left,z,respond,z,false,z,,721,true,,,,,1500,26411.6,,27132.9,27132.9,721,2026-06-25T10:39:04.540Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,15,stop,opposite,blue,left,z,respond,m,true,z,,603,false,false,400,400,350,1500,28137.486,28537.5,28740.9,28740.9,603,2026-06-25T10:39:06.148Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,16,stop,opposite,blue,left,z,respond,m,true,m,,864,true,true,350,358,400,1500,29745.886,30104.2,30609.7,30609.7,864,2026-06-25T10:39:08.024Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,17,go,none,none,right,m,respond,m,false,m,,1018,true,,,,,1500,31612.5,,32630.6,32630.6,1018,2026-06-25T10:39:10.043Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,18,stop,opposite,blue,right,m,respond,z,true,z,,636,true,true,400,408,450,1500,33637.486,34045.8,34273.7,34273.7,636,2026-06-25T10:39:11.681Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,19,go,none,none,right,m,respond,m,false,m,,606,true,,,,,1500,35279.2,,35885.7,35885.7,606,2026-06-25T10:39:13.297Z
response_trial,stop_change_two,1,6e35cc14-1a99-40a3-9f1f-6ab1a55c5083,main,20,go,none,none,left,z,respond,z,false,z,,1114,true,,,,,1500,36887.4,,38001.4,38001.4,1114,2026-06-25T10:39:15.413Z
